,0
557,19.270609548025774
558,20.883441354430648
559,19.92594874964307
560,17.912463937161828
561,22.367995637891294
562,20.578038254890235
563,19.230354724099204
564,20.996612500179197
565,18.6293593055919
566,19.72996303672397
567,18.875485795400966
568,18.953899704236978
569,22.012254365103704
570,22.113787068142923
571,20.07719955866756
572,18.742470821080502
573,22.069244747467177
574,22.48565596003091
575,19.16155900620265
576,20.297871319125672
577,20.216917166151834
578,19.81377525747929
579,18.79015910865743
580,19.98925223559543
581,19.440097270889016
582,20.328427947007874
583,18.961059447610044
584,20.16593175801798
585,18.894356397455432
586,21.181960718468197
587,18.746958158820483
588,18.838795323113906
589,18.759037742360142
590,18.53203808675137
591,24.463334096498045
592,21.40119396319522
593,19.751721219130058
594,19.589235844341555
595,16.668658246008924
596,16.437019612826912
597,20.355146891309065
598,18.327600616185933
599,18.900948661209853
600,17.79249180208627
601,16.770260564818496
602,16.70035352547651
603,15.925450779623413
604,21.154565492097753
605,17.485685648797357
606,17.49535651992997
607,18.465612004141214
608,18.14369458021691
609,15.86110487813411
610,15.635869179397618
611,15.09909790336593
612,15.951846144175708
613,18.582534387016143
614,15.03215910596776
615,17.855034176052854
616,16.27715817415194
617,16.27715817415194
618,19.91334449648469
619,16.599384132975054
620,17.234841422715146
621,15.821627152705345
622,17.243720801237878
623,15.7498733996672
624,16.774677569029585
625,15.133394062665104
626,16.306628377162358
627,15.998240483822856
628,15.371646342114156
629,15.768825334933586
630,15.690284747867825
631,19.767465225954442
632,15.148557568390583
633,16.17035364237629
634,18.528729933335207
635,18.36353309719119
636,17.1484443651697
637,15.7090778132427
638,16.66469304638718
639,15.95334808562067
640,15.557332552541359
641,19.222437117194897
642,15.247843773919733
643,19.235940062706504
644,15.648774516992809
645,17.258360801154165
646,17.914810686674972
647,15.022196678766583
648,20.37398106253166
649,16.788215656308576
650,15.027187044630166
651,20.30441999864905
652,14.560114434517857
653,14.481809503257068
654,16.310338405045204
655,14.325520343525664
656,16.56145698027779
657,15.434481567485042
658,15.201235205897653
659,17.47280885784494
660,14.730297567194514
661,19.079872510729064
662,16.333795786162987
663,14.02605520415004
664,17.587425774443354
665,15.861824138340403
666,23.822457312894034
667,17.59815141832926
668,16.604148703359144
669,16.612249438860243
670,16.942595754551075
671,20.193512388328084
672,17.2014974995717
673,18.465352612794977
674,14.513763366502996
675,12.789913187069835
676,13.33404095571869
677,10.586313217507461
678,7.896179365405039
679,8.898532723809602
680,8.243559281312567
681,13.889085669419968
682,12.481031812699614
683,13.025545797961632
684,9.909172309248513
685,13.340783580859178
686,14.213856843736956
687,14.054117183815631
688,13.897735326064167
689,15.843319417043187
690,15.187447827987032
691,14.297657149540507
692,17.7942243315158
693,16.189858552090143
694,15.857650236001241
695,16.031607004322776
696,16.20584088865656
697,18.683759554664686
698,15.872155774834152
699,19.756489567961584
700,14.64233342982798
701,13.751750331149944
702,18.799003544270548
703,12.87573862036379
704,13.114040672342037
705,13.27517409042643
706,12.87659853064308
707,15.228194333364819
708,14.492317085411571
709,18.56315502622621
